,COMMUNITY AREA NAME,PER CAPITA INCOME,THERM MEAN 2010,TOTAL POPULATION
150,Rogers Park,23714,9475.5,174.0
151,Rogers Park,23714,1548.75,174.0
152,Rogers Park,23714,2168.43,174.0
153,Rogers Park,23714,107.0,127.0
154,Rogers Park,23714,4435.5,127.0
155,Rogers Park,23714,2249.67,132.0
156,Rogers Park,23714,2969.8,132.0
157,Rogers Park,23714,165.0,0.0
158,Rogers Park,23714,1712.1,5.0
159,Rogers Park,23714,5202.67,130.0
160,Rogers Park,23714,2498.0,33.0
161,Rogers Park,23714,1796.33,33.0
162,Rogers Park,23714,7688.0,78.0
163,Rogers Park,23714,1399.67,78.0
164,Rogers Park,23714,2099.2,78.0
165,Rogers Park,23714,2974.5,68.0
166,Rogers Park,23714,1543.33,68.0
167,Rogers Park,23714,1609.56,68.0
168,Rogers Park,23714,2115.0,222.0
169,Rogers Park,23714,6462.33,219.0
170,Rogers Park,23714,4890.5,219.0
171,Rogers Park,23714,2572.0,219.0
172,Rogers Park,23714,4948.0,205.0
173,Rogers Park,23714,3514.5,205.0
174,Rogers Park,23714,2436.5,205.0
175,Rogers Park,23714,2288.83,129.0
176,Rogers Park,23714,21579.5,446.0
177,Rogers Park,23714,1855.5,446.0
178,Rogers Park,23714,11380.33,84.0
179,Rogers Park,23714,1756.43,84.0
180,Rogers Park,23714,4780.5,122.0
181,Rogers Park,23714,3764.33,122.0
182,Rogers Park,23714,1983.25,168.0
183,Rogers Park,23714,2987.0,46.0
184,Rogers Park,23714,163.5,31.0
185,Rogers Park,23714,1136.8,31.0
186,Rogers Park,23714,12114.0,99.0
187,Rogers Park,23714,3953.83,114.0
188,Rogers Park,23714,1915.33,114.0
189,Rogers Park,23714,5290.0,90.0
190,Rogers Park,23714,1569.29,90.0
191,Rogers Park,23714,2160.67,90.0
192,Rogers Park,23714,6956.0,158.0
193,Rogers Park,23714,4822.8,143.0
194,Rogers Park,23714,5990.5,143.0
195,Rogers Park,23714,2556.75,275.0
196,Rogers Park,23714,3067.0,86.0
197,Rogers Park,23714,399.0,159.0
198,Rogers Park,23714,3481.33,159.0
199,Rogers Park,23714,10876.5,159.0
200,Rogers Park,23714,2846.0,0.0
201,Rogers Park,23714,1283.5,149.0
202,Rogers Park,23714,2953.0,136.0
203,Rogers Park,23714,2940.0,38.0
204,Rogers Park,23714,2360.0,38.0
205,Rogers Park,23714,1960.83,38.0
206,Rogers Park,23714,2459.0,184.0
207,Rogers Park,23714,3252.25,90.0
208,Rogers Park,23714,4091.0,196.0
