,COMMUNITY AREA NAME,PER CAPITA INCOME,KWH MEAN 2010,TOTAL POPULATION
0,Rogers Park,23714,8252.0,129.0
1,Rogers Park,23714,30417.0,282.0
2,Rogers Park,23714,11812.33,20.0
3,Rogers Park,23714,20669.0,77.0
4,Rogers Park,23714,29135.6,122.0
5,Rogers Park,23714,20565.0,142.0
6,Rogers Park,23714,22971.0,112.0
7,Rogers Park,23714,26005.0,88.0
8,Rogers Park,23714,36488.5,206.0
9,Rogers Park,23714,42036.0,7.0
10,Rogers Park,23714,5638.0,114.0
11,Rogers Park,23714,8312.0,110.0
12,Rogers Park,23714,14254.67,0.0
13,Rogers Park,23714,21484.0,99.0
14,Rogers Park,23714,91886.04,48386.0
15,Rogers Park,23714,8242.0,71.0
16,Rogers Park,23714,13091.4,45.0
17,Rogers Park,23714,7934.5,45.0
18,Rogers Park,23714,52396.2,335.0
19,Rogers Park,23714,16488.93,335.0
20,Rogers Park,23714,8655.6,335.0
21,Rogers Park,23714,9133.13,152.0
22,Rogers Park,23714,12673.86,152.0
23,Rogers Park,23714,8391.0,45.0
24,Rogers Park,23714,11053.0,45.0
25,Rogers Park,23714,30393.41,363.0
26,Rogers Park,23714,14682.5,42.0
27,Rogers Park,23714,12578.83,154.0
28,Rogers Park,23714,17933.25,151.0
29,Rogers Park,23714,20111.71,151.0
30,Rogers Park,23714,15160.75,193.0
31,Rogers Park,23714,25085.78,193.0
32,Rogers Park,23714,27485.75,143.0
33,Rogers Park,23714,77021.5,274.0
34,Rogers Park,23714,40312.5,274.0
35,Rogers Park,23714,26309.25,223.0
36,Rogers Park,23714,15630.0,223.0
37,Rogers Park,23714,51630.9,302.0
38,Rogers Park,23714,13536.0,302.0
39,Rogers Park,23714,9677.25,302.0
40,Rogers Park,23714,25374.0,268.0
41,Rogers Park,23714,55464.0,268.0
42,Rogers Park,23714,18800.67,148.0
43,Rogers Park,23714,22125.0,148.0
44,Rogers Park,23714,22545.0,171.0
45,Rogers Park,23714,16613.5,182.0
46,Rogers Park,23714,37556.33,291.0
47,Rogers Park,23714,11425.0,236.0
48,Rogers Park,23714,13433.17,291.0
49,Rogers Park,23714,17332.0,174.0
50,Rogers Park,23714,22018.5,174.0
51,Rogers Park,23714,7865.6,174.0
52,Rogers Park,23714,19791.5,171.0
53,Rogers Park,23714,22069.22,192.0
54,Rogers Park,23714,28657.5,192.0
55,Rogers Park,23714,24341.33,114.0
56,Rogers Park,23714,22946.0,114.0
57,Rogers Park,23714,13154.0,153.0
58,Rogers Park,23714,33281.71,153.0
59,Rogers Park,23714,18164.0,236.0
60,Rogers Park,23714,20281.43,236.0
61,Rogers Park,23714,71417.33,35.0
62,Rogers Park,23714,7973.71,35.0
63,Rogers Park,23714,6549.5,35.0
64,Rogers Park,23714,19694.5,141.0
65,Rogers Park,23714,9881.6,74.0
66,Rogers Park,23714,21924.33,68.0
67,Rogers Park,23714,14587.0,75.0
68,Rogers Park,23714,17265.0,117.0
69,Rogers Park,23714,16873.5,117.0
70,Rogers Park,23714,21530.0,107.0
71,Rogers Park,23714,7222.13,107.0
72,Rogers Park,23714,22178.0,151.0
73,Rogers Park,23714,6708.0,151.0
74,Rogers Park,23714,13741.4,151.0
75,Rogers Park,23714,91713.0,237.0
76,Rogers Park,23714,42735.67,138.0
77,Rogers Park,23714,21733.5,138.0
78,Rogers Park,23714,19420.0,42.0
79,Rogers Park,23714,6914.18,42.0
80,Rogers Park,23714,10614.22,134.0
81,Rogers Park,23714,11917.71,134.0
82,Rogers Park,23714,10709.93,134.0
83,Rogers Park,23714,10538.0,62.0
84,Rogers Park,23714,26618.5,40.0
85,Rogers Park,23714,10719.0,40.0
86,Rogers Park,23714,10451.67,66.0
87,Rogers Park,23714,15027.8,82.0
88,Rogers Park,23714,9529.0,66.0
89,Rogers Park,23714,69170.0,133.0
90,Rogers Park,23714,15509.33,133.0
91,Rogers Park,23714,12170.75,133.0
92,Rogers Park,23714,12251.8,74.0
93,Rogers Park,23714,16817.56,111.0
94,Rogers Park,23714,6871.0,86.0
95,Rogers Park,23714,23378.0,45.0
96,Rogers Park,23714,23279.25,76.0
97,Rogers Park,23714,8967.67,76.0
98,Rogers Park,23714,16648.0,88.0
99,Rogers Park,23714,4986.0,88.0
100,Rogers Park,23714,15544.8,413.0
101,Rogers Park,23714,12394.75,413.0
102,Rogers Park,23714,6469.67,127.0
103,Rogers Park,23714,16465.0,127.0
104,Rogers Park,23714,16910.33,127.0
105,Rogers Park,23714,17846.89,77.0
106,Rogers Park,23714,8347.8,104.0
107,Rogers Park,23714,10929.5,104.0
108,Rogers Park,23714,9938.67,26.0
109,Rogers Park,23714,18385.0,79.0
110,Rogers Park,23714,18734.88,378.0
111,Rogers Park,23714,12738.33,378.0
112,Rogers Park,23714,14891.0,378.0
113,Rogers Park,23714,7653.25,234.0
114,Rogers Park,23714,11055.86,50.0
115,Rogers Park,23714,11659.33,50.0
116,Rogers Park,23714,22189.8,116.0
117,Rogers Park,23714,16623.0,116.0
118,Rogers Park,23714,17997.83,35.0
119,Rogers Park,23714,17267.92,175.0
120,Rogers Park,23714,8627.0,175.0
121,Rogers Park,23714,22712.0,82.0
122,Rogers Park,23714,7040.0,71.0
123,Rogers Park,23714,18926.44,71.0
124,Rogers Park,23714,11878.2,80.0
125,Rogers Park,23714,18660.0,105.0
126,Rogers Park,23714,13285.67,105.0
127,Rogers Park,23714,25071.0,210.0
128,Rogers Park,23714,9490.67,135.0
129,Rogers Park,23714,26628.0,135.0
130,Rogers Park,23714,31293.0,26.0
131,Rogers Park,23714,10029.67,26.0
132,Rogers Park,23714,15033.0,246.0
133,Rogers Park,23714,7669.83,246.0
134,Rogers Park,23714,9827.14,155.0
135,Rogers Park,23714,6711.0,155.0
136,Rogers Park,23714,11536.0,52.0
137,Rogers Park,23714,19738.67,88.0
138,Rogers Park,23714,10910.43,157.0
139,Rogers Park,23714,8242.67,157.0
140,Rogers Park,23714,16370.4,183.0
141,Rogers Park,23714,18315.0,10.0
142,Rogers Park,23714,7868.0,10.0
143,Rogers Park,23714,23949.0,57.0
144,Rogers Park,23714,36979.0,272.0
145,Rogers Park,23714,22712.67,57.0
146,Rogers Park,23714,5839.75,57.0
147,Rogers Park,23714,15162.67,112.0
148,Rogers Park,23714,8434.47,112.0
149,Rogers Park,23714,14504.67,171.0
150,Rogers Park,23714,11774.0,194.0
151,Rogers Park,23714,11047.6,406.0
152,Rogers Park,23714,8022.5,406.0
153,Rogers Park,23714,43462.0,174.0
154,Rogers Park,23714,18372.0,174.0
155,Rogers Park,23714,9147.0,174.0
156,Rogers Park,23714,9709.5,127.0
157,Rogers Park,23714,14802.5,127.0
158,Rogers Park,23714,3207.0,110.0
159,Rogers Park,23714,23226.33,132.0
160,Rogers Park,23714,10103.2,132.0
161,Rogers Park,23714,5153.67,0.0
162,Rogers Park,23714,7656.27,5.0
163,Rogers Park,23714,19618.75,130.0
164,Rogers Park,23714,7470.0,33.0
165,Rogers Park,23714,4714.0,33.0
166,Rogers Park,23714,79904.0,78.0
167,Rogers Park,23714,10068.0,78.0
168,Rogers Park,23714,8518.25,78.0
169,Rogers Park,23714,13332.0,68.0
170,Rogers Park,23714,6178.33,68.0
171,Rogers Park,23714,14695.78,68.0
172,Rogers Park,23714,20622.5,222.0
173,Rogers Park,23714,20767.5,219.0
174,Rogers Park,23714,13905.33,219.0
175,Rogers Park,23714,10879.5,219.0
176,Rogers Park,23714,14948.5,205.0
177,Rogers Park,23714,16938.5,205.0
178,Rogers Park,23714,9357.5,205.0
179,Rogers Park,23714,16401.6,129.0
180,Rogers Park,23714,58824.75,446.0
181,Rogers Park,23714,11375.0,446.0
182,Rogers Park,23714,11836.0,84.0
183,Rogers Park,23714,7318.88,84.0
184,Rogers Park,23714,7611.83,122.0
185,Rogers Park,23714,24002.17,122.0
186,Rogers Park,23714,15947.25,168.0
187,Rogers Park,23714,22008.0,46.0
188,Rogers Park,23714,15656.0,31.0
189,Rogers Park,23714,10959.0,31.0
190,Rogers Park,23714,5269.0,99.0
191,Rogers Park,23714,10377.67,114.0
192,Rogers Park,23714,6556.33,114.0
193,Rogers Park,23714,31638.0,90.0
194,Rogers Park,23714,9368.86,90.0
195,Rogers Park,23714,15776.11,90.0
196,Rogers Park,23714,22299.0,158.0
197,Rogers Park,23714,7149.78,143.0
198,Rogers Park,23714,32487.5,143.0
199,Rogers Park,23714,28536.75,275.0
200,Rogers Park,23714,28807.0,86.0
201,Rogers Park,23714,16393.5,159.0
202,Rogers Park,23714,32550.67,159.0
203,Rogers Park,23714,21171.5,159.0
204,Rogers Park,23714,32668.0,0.0
205,Rogers Park,23714,7231.25,149.0
206,Rogers Park,23714,14048.0,136.0
207,Rogers Park,23714,20814.0,38.0
208,Rogers Park,23714,9271.67,38.0
209,Rogers Park,23714,12005.0,184.0
210,Rogers Park,23714,32982.5,90.0
211,Rogers Park,23714,18200.0,196.0
212,Rogers Park,23714,5259.5,196.0
213,Rogers Park,23714,13285.0,233.0
214,Rogers Park,23714,6921.5,233.0
215,Rogers Park,23714,22003.33,145.0
216,Rogers Park,23714,3361.5,145.0
217,Rogers Park,23714,10774.5,145.0
218,Rogers Park,23714,7024.67,90.0
219,Rogers Park,23714,6303.43,90.0
220,Rogers Park,23714,19663.27,299.0
221,Rogers Park,23714,30084.0,299.0
222,Rogers Park,23714,12397.67,93.0
223,Rogers Park,23714,12876.29,647.0
224,Rogers Park,23714,13844.0,222.0
225,Rogers Park,23714,39029.0,222.0
226,Rogers Park,23714,22238.0,170.0
227,Rogers Park,23714,13795.0,170.0
228,Rogers Park,23714,14373.0,170.0
229,Rogers Park,23714,5983.0,53.0
230,Rogers Park,23714,29860.67,53.0
231,Rogers Park,23714,8119.14,39.0
232,Rogers Park,23714,14747.0,253.0
233,Rogers Park,23714,17185.0,84.0
234,Rogers Park,23714,11022.0,84.0
235,Rogers Park,23714,11785.8,181.0
236,Rogers Park,23714,11210.33,29.0
237,Rogers Park,23714,19286.0,32.0
238,Rogers Park,23714,5682.5,220.0
239,Rogers Park,23714,11384.4,65.0
240,Rogers Park,23714,13377.71,65.0
241,Rogers Park,23714,9091.0,272.0
242,Rogers Park,23714,7226.0,45.0
243,Rogers Park,23714,9853.67,45.0
244,Rogers Park,23714,23038.0,108.0
245,Rogers Park,23714,17948.0,108.0
246,Rogers Park,23714,11489.25,108.0
247,Rogers Park,23714,17153.0,0.0
248,Rogers Park,23714,8999.75,109.0
249,Rogers Park,23714,9344.55,85.0
250,Rogers Park,23714,12898.0,88.0
251,Rogers Park,23714,9146.0,88.0
252,Rogers Park,23714,40663.33,128.0
253,Rogers Park,23714,17661.5,128.0
254,Rogers Park,23714,6976.67,128.0
255,Rogers Park,23714,21566.5,136.0
256,Rogers Park,23714,14493.4,136.0
257,Rogers Park,23714,12045.0,136.0
258,Rogers Park,23714,51422.25,140.0
259,Rogers Park,23714,49611.33,140.0
260,Rogers Park,23714,11365.8,140.0
261,Rogers Park,23714,8349.5,4.0
262,Rogers Park,23714,21745.67,444.0
263,Rogers Park,23714,16552.75,444.0
264,Rogers Park,23714,29097.5,444.0
265,Rogers Park,23714,20218.39,304.0
266,Rogers Park,23714,78288.0,154.0
267,Rogers Park,23714,108400.7,251.0
268,Rogers Park,23714,17808.0,251.0
269,Rogers Park,23714,15284.88,4.0
270,Rogers Park,23714,17066.0,186.0
271,Rogers Park,23714,16989.2,142.0
272,Rogers Park,23714,15914.0,202.0
273,Rogers Park,23714,59953.0,136.0
274,Rogers Park,23714,35873.33,109.0
275,Rogers Park,23714,22665.0,109.0
276,Rogers Park,23714,10794.0,5.0
277,Rogers Park,23714,17570.47,52.0
278,Rogers Park,23714,17314.0,52.0
279,Rogers Park,23714,22332.62,52.0
280,Rogers Park,23714,27035.0,268.0
281,Rogers Park,23714,12299.0,200.0
282,Rogers Park,23714,16774.75,200.0
283,Rogers Park,23714,30776.5,164.0
284,Rogers Park,23714,83095.5,128.0
285,Rogers Park,23714,28669.13,304.0
286,Rogers Park,23714,20849.27,304.0
287,Rogers Park,23714,19137.5,304.0
288,Rogers Park,23714,14261.43,20.0
289,Rogers Park,23714,264947.0,544.0
290,Rogers Park,23714,14755.88,161.0
291,Rogers Park,23714,18172.0,161.0
292,Rogers Park,23714,98568.5,249.0
293,Rogers Park,23714,5147.67,249.0
294,Rogers Park,23714,14357.5,172.0
295,Rogers Park,23714,190140.0,289.0
296,Rogers Park,23714,21043.29,178.0
297,Rogers Park,23714,16235.23,145.0
298,Rogers Park,23714,21370.67,91.0
299,Rogers Park,23714,20167.0,200.0
300,Rogers Park,23714,26029.92,218.0
301,Rogers Park,23714,1035.0,218.0
302,Rogers Park,23714,23881.0,69.0
303,Rogers Park,23714,18922.33,69.0
304,Rogers Park,23714,19872.6,119.0
305,Rogers Park,23714,5292.0,76.0
306,Rogers Park,23714,10718.0,72.0
307,Rogers Park,23714,13336.0,72.0
308,Rogers Park,23714,20054.13,164.0
309,Rogers Park,23714,8281.5,164.0
310,Rogers Park,23714,9033.5,55.0
311,Rogers Park,23714,16205.83,77.0
312,Rogers Park,23714,18548.0,77.0
313,Rogers Park,23714,7922.67,135.0
314,Rogers Park,23714,7295.0,169.0
315,Rogers Park,23714,8529.0,241.0
316,Rogers Park,23714,13154.13,84.0
317,Rogers Park,23714,8679.5,84.0
318,Rogers Park,23714,22283.5,62.0
319,Rogers Park,23714,7035.0,53.0
320,Rogers Park,23714,9382.5,53.0
321,Rogers Park,23714,14656.75,140.0
322,Rogers Park,23714,8413.93,140.0
323,Rogers Park,23714,11130.5,60.0
324,Rogers Park,23714,17204.44,135.0
325,Rogers Park,23714,10536.8,149.0
326,Rogers Park,23714,8126.0,233.0
327,Rogers Park,23714,13983.8,233.0
328,Rogers Park,23714,16449.0,233.0
329,Rogers Park,23714,31680.8,83.0
330,Rogers Park,23714,12384.0,81.0
331,Rogers Park,23714,7135.0,81.0
332,Rogers Park,23714,9253.0,81.0
333,Rogers Park,23714,9736.2,101.0
334,Rogers Park,23714,9253.0,74.0
335,Rogers Park,23714,21141.2,74.0
336,Rogers Park,23714,9487.0,74.0
337,Rogers Park,23714,3191.5,148.0
338,Rogers Park,23714,14238.0,148.0
339,Rogers Park,23714,7857.0,148.0
340,Rogers Park,23714,34477.4,392.0
341,Rogers Park,23714,21935.25,227.0
342,Rogers Park,23714,23438.57,149.0
343,Rogers Park,23714,28340.5,149.0
344,Rogers Park,23714,12819.5,138.0
345,Rogers Park,23714,7472.2,96.0
346,Rogers Park,23714,42811.0,96.0
347,Rogers Park,23714,94282.0,204.0
348,Rogers Park,23714,9264.17,204.0
349,Rogers Park,23714,21929.75,70.0
350,Rogers Park,23714,11465.0,70.0
351,Rogers Park,23714,5918.25,70.0
352,Rogers Park,23714,16746.7,146.0
353,Rogers Park,23714,6733.17,86.0
354,Rogers Park,23714,7306.0,86.0
355,Rogers Park,23714,12864.33,155.0
356,Rogers Park,23714,7476.0,73.0
357,Rogers Park,23714,15833.38,41.0
358,Rogers Park,23714,13023.2,57.0
359,Rogers Park,23714,10757.0,101.0
360,Rogers Park,23714,10811.0,490.0
361,Rogers Park,23714,9823.4,66.0
362,Rogers Park,23714,10001.71,71.0
363,Rogers Park,23714,8618.93,83.0
364,Rogers Park,23714,11220.88,84.0
365,Rogers Park,23714,10231.23,0.0
366,Rogers Park,23714,8283.33,194.0
367,Rogers Park,23714,10566.73,84.0
368,Rogers Park,23714,11783.0,47.0
369,Rogers Park,23714,7723.9,74.0
370,Rogers Park,23714,11719.5,73.0
371,Rogers Park,23714,8920.0,105.0
372,Rogers Park,23714,9801.0,105.0
373,Rogers Park,23714,7253.25,71.0
374,Rogers Park,23714,15160.0,29.0
375,Rogers Park,23714,10335.4,215.0
376,Rogers Park,23714,72980.0,166.0
377,Rogers Park,23714,14173.0,166.0
378,Rogers Park,23714,3437.0,94.0
379,Rogers Park,23714,16197.5,73.0
380,Rogers Park,23714,6527.5,73.0
381,Rogers Park,23714,47551.2,273.0
382,Rogers Park,23714,37210.0,273.0
383,Rogers Park,23714,43377.0,82.0
384,Rogers Park,23714,10298.0,82.0
385,Rogers Park,23714,15083.5,45.0
386,Rogers Park,23714,3955.0,52.0
387,Rogers Park,23714,9659.0,72.0
388,Rogers Park,23714,16520.0,72.0
389,Rogers Park,23714,5068.25,72.0
390,Rogers Park,23714,5505.33,45.0
391,Rogers Park,23714,8182.83,20.0
392,Rogers Park,23714,14866.75,113.0
393,Rogers Park,23714,12568.5,113.0
394,Rogers Park,23714,12331.5,91.0
395,Rogers Park,23714,15962.33,91.0
396,Rogers Park,23714,11518.5,91.0
397,Rogers Park,23714,12750.75,47.0
398,Rogers Park,23714,12816.43,47.0
399,Rogers Park,23714,39208.0,187.0
400,Rogers Park,23714,21698.25,59.0
401,Rogers Park,23714,9984.0,59.0
402,Rogers Park,23714,14333.29,59.0
403,Rogers Park,23714,34708.5,64.0
404,Rogers Park,23714,13217.56,64.0
405,Rogers Park,23714,6159.0,70.0
406,Rogers Park,23714,24215.71,292.0
407,Rogers Park,23714,11041.75,292.0
408,Rogers Park,23714,9900.4,180.0
409,Rogers Park,23714,11058.25,163.0
410,Rogers Park,23714,11169.0,163.0
411,Rogers Park,23714,8638.83,163.0
412,Rogers Park,23714,15291.36,183.0
413,Rogers Park,23714,15642.0,183.0
414,Rogers Park,23714,7862.2,183.0
415,Rogers Park,23714,13561.06,136.0
416,Rogers Park,23714,10514.0,136.0
417,Rogers Park,23714,12263.0,157.0
418,Rogers Park,23714,12575.17,157.0
419,Rogers Park,23714,8743.0,157.0
420,Rogers Park,23714,11279.57,119.0
421,Rogers Park,23714,12252.33,119.0
422,Rogers Park,23714,10332.2,102.0
423,Rogers Park,23714,15778.0,102.0
424,Rogers Park,23714,7705.4,102.0
425,Rogers Park,23714,10382.75,149.0
426,Rogers Park,23714,10421.25,149.0
427,Rogers Park,23714,10527.75,256.0
428,Rogers Park,23714,13528.1,256.0
429,Rogers Park,23714,6705.0,256.0
430,Rogers Park,23714,15939.5,145.0
431,Rogers Park,23714,14573.25,145.0
432,Rogers Park,23714,13791.33,145.0
433,Rogers Park,23714,7829.0,213.0
434,Rogers Park,23714,12652.36,213.0
435,Rogers Park,23714,14041.58,111.0
436,Rogers Park,23714,24460.6,164.0
437,Rogers Park,23714,17161.14,164.0
438,Rogers Park,23714,17866.67,118.0
439,Rogers Park,23714,10086.67,44.0
440,Rogers Park,23714,11927.75,231.0
441,Rogers Park,23714,7739.5,231.0
442,Rogers Park,23714,20314.17,101.0
443,Rogers Park,23714,11245.89,130.0
444,Rogers Park,23714,31368.5,199.0
445,Rogers Park,23714,21222.67,199.0
446,Rogers Park,23714,5127.67,145.0
447,Rogers Park,23714,9307.5,90.0
448,Rogers Park,23714,80873.0,343.0
449,Rogers Park,23714,6393.17,64.0
450,Rogers Park,23714,19467.0,343.0
451,Rogers Park,23714,20325.0,47.0
452,Rogers Park,23714,10162.8,47.0
453,Rogers Park,23714,14695.2,196.0
454,Rogers Park,23714,8232.75,196.0
455,Rogers Park,23714,4903.0,43.0
456,Rogers Park,23714,8786.0,43.0
457,Rogers Park,23714,9204.0,188.0
458,Rogers Park,23714,8176.64,188.0
459,Rogers Park,23714,18192.0,41.0
460,Rogers Park,23714,8164.3,41.0
461,Rogers Park,23714,10512.33,63.0
462,Rogers Park,23714,9444.0,63.0
463,Rogers Park,23714,21500.25,237.0
464,Rogers Park,23714,16978.0,237.0
465,Rogers Park,23714,6795.75,237.0
466,Rogers Park,23714,8734.28,115.0
467,Rogers Park,23714,7824.17,115.0
468,Rogers Park,23714,19895.0,94.0
469,Rogers Park,23714,11027.78,237.0
470,Rogers Park,23714,6377.5,59.0
471,Rogers Park,23714,8357.92,59.0
472,Rogers Park,23714,12008.0,45.0
473,Rogers Park,23714,8202.43,45.0
474,Rogers Park,23714,9699.38,44.0
475,Rogers Park,23714,23678.67,243.0
476,Rogers Park,23714,4955.0,243.0
477,Rogers Park,23714,61584.0,109.0
478,Rogers Park,23714,17292.25,109.0
479,Rogers Park,23714,144396.0,257.0
480,Rogers Park,23714,12281.31,257.0
481,Rogers Park,23714,10068.1,257.0
482,Rogers Park,23714,9939.67,148.0
483,Rogers Park,23714,7832.67,148.0
484,Rogers Park,23714,12734.0,230.0
485,Rogers Park,23714,9762.25,230.0
486,Rogers Park,23714,8441.67,148.0
487,Rogers Park,23714,11062.21,124.0
488,Rogers Park,23714,7931.43,124.0
489,Rogers Park,23714,12402.33,125.0
490,Rogers Park,23714,6995.0,125.0
491,Rogers Park,23714,10316.25,125.0
492,Rogers Park,23714,14474.63,123.0
493,Rogers Park,23714,8939.5,123.0
494,Rogers Park,23714,25368.67,148.0
495,Rogers Park,23714,11601.67,148.0
496,Rogers Park,23714,11920.67,36.0
497,Rogers Park,23714,6235.5,36.0
498,Rogers Park,23714,12775.21,237.0
499,Rogers Park,23714,15311.2,46.0
500,Rogers Park,23714,9680.09,46.0
501,Rogers Park,23714,17942.5,54.0
502,Rogers Park,23714,13262.75,54.0
503,Rogers Park,23714,17786.8,88.0
504,Rogers Park,23714,12688.0,22.0
505,Rogers Park,23714,13012.0,22.0
506,Rogers Park,23714,17836.0,41.0
507,Rogers Park,23714,7168.33,41.0
508,Rogers Park,23714,12245.6,68.0
509,Rogers Park,23714,12726.44,103.0
510,Rogers Park,23714,20257.33,176.0
511,Rogers Park,23714,12960.25,176.0
512,Rogers Park,23714,10575.63,176.0
513,Rogers Park,23714,16438.75,132.0
514,Rogers Park,23714,14624.0,248.0
515,Rogers Park,23714,8185.0,10.0
516,Rogers Park,23714,7252.33,10.0
517,Rogers Park,23714,27585.0,84.0
518,Rogers Park,23714,15996.67,70.0
519,Rogers Park,23714,22416.67,223.0
520,Rogers Park,23714,135317.0,295.0
521,Rogers Park,23714,21640.25,295.0
522,Rogers Park,23714,14116.0,81.0
523,Rogers Park,23714,7977.5,123.0
524,Rogers Park,23714,64707.5,11.0
525,Rogers Park,23714,35592.0,31.0
526,Rogers Park,23714,11144.2,248.0
527,Rogers Park,23714,13327.38,257.0
528,Rogers Park,23714,13189.2,257.0
529,Rogers Park,23714,50663.5,257.0
530,Rogers Park,23714,23997.67,123.0
531,Rogers Park,23714,8051.86,123.0
532,Rogers Park,23714,15955.0,2.0
533,Rogers Park,23714,43394.0,89.0
534,Rogers Park,23714,10088.0,89.0
535,Rogers Park,23714,19367.33,282.0
536,Rogers Park,23714,38130.0,83.0
537,Rogers Park,23714,31439.5,83.0
538,Rogers Park,23714,20606.08,337.0
539,Rogers Park,23714,17551.5,337.0
540,Rogers Park,23714,32145.0,66.0
541,Rogers Park,23714,30333.44,66.0
542,Rogers Park,23714,6113.5,107.0
543,Rogers Park,23714,10552.0,103.0
544,Rogers Park,23714,17368.67,69.0
545,Rogers Park,23714,3486.5,103.0
546,Rogers Park,23714,19883.0,7.0
547,Rogers Park,23714,23220.25,265.0
548,Rogers Park,23714,12585.67,265.0
549,Rogers Park,23714,20452.86,158.0
550,Rogers Park,23714,21219.8,416.0
551,Rogers Park,23714,48537.0,416.0
552,Rogers Park,23714,8028.33,69.0
553,Rogers Park,23714,9038.79,90.0
554,Rogers Park,23714,17015.5,235.0
555,Rogers Park,23714,9763.5,235.0
556,Rogers Park,23714,10190.33,235.0
557,Rogers Park,23714,19765.33,120.0
558,Rogers Park,23714,24695.67,63.0
559,Rogers Park,23714,39014.75,63.0
560,Rogers Park,23714,17152.33,201.0
561,Rogers Park,23714,134408.5,201.0
562,Rogers Park,23714,20424.5,55.0
563,Rogers Park,23714,7820.33,0.0
564,Rogers Park,23714,15887.25,94.0
565,Rogers Park,23714,2978.0,56.0
566,Rogers Park,23714,7513.93,56.0
567,Rogers Park,23714,9982.87,162.0
568,Rogers Park,23714,7330.33,90.0
569,Rogers Park,23714,17922.5,132.0
570,Rogers Park,23714,14544.29,132.0
571,Rogers Park,23714,10775.0,132.0
572,Rogers Park,23714,15212.82,113.0
573,Rogers Park,23714,8353.83,113.0
574,Rogers Park,23714,18301.86,104.0
575,Rogers Park,23714,9180.3,104.0
576,Rogers Park,23714,5434.5,90.0
577,Rogers Park,23714,14159.29,108.0
578,Rogers Park,23714,20673.6,68.0
579,Rogers Park,23714,20946.5,68.0
580,Rogers Park,23714,12170.5,51.0
581,Rogers Park,23714,11911.0,51.0
582,Rogers Park,23714,22379.0,51.0
583,Rogers Park,23714,6691.0,301.0
584,Rogers Park,23714,21915.0,140.0
585,Rogers Park,23714,13289.0,167.0
586,Rogers Park,23714,39536.75,112.0
587,Rogers Park,23714,14941.0,15.0
588,Rogers Park,23714,24708.0,15.0
589,Rogers Park,23714,5151.8,15.0
590,Rogers Park,23714,7635.2,32.0
591,Rogers Park,23714,93867.33,89.0
592,Rogers Park,23714,34113.5,97.0
593,Rogers Park,23714,20024.33,97.0
594,Rogers Park,23714,21929.0,101.0
595,Rogers Park,23714,13935.0,36.0
596,Rogers Park,23714,15056.5,36.0
597,Rogers Park,23714,19940.2,288.0
598,Rogers Park,23714,21631.0,288.0
599,Rogers Park,23714,13300.83,189.0
600,Rogers Park,23714,7132.0,189.0
601,Rogers Park,23714,18287.0,36.0
602,Rogers Park,23714,16073.4,107.0
603,Rogers Park,23714,10655.67,107.0
604,Rogers Park,23714,9248.0,146.0
605,Rogers Park,23714,13155.33,146.0
606,Rogers Park,23714,15539.0,146.0
607,Rogers Park,23714,12679.5,38.0
608,Rogers Park,23714,19876.0,53.0
609,Rogers Park,23714,26587.0,53.0
610,Rogers Park,23714,13251.45,225.0
611,Rogers Park,23714,7046.4,225.0
612,Rogers Park,23714,14495.2,316.0
613,Rogers Park,23714,8896.77,111.0
614,Rogers Park,23714,6395.0,76.0
615,Rogers Park,23714,7506.64,76.0
616,Rogers Park,23714,5935.0,30.0
617,Rogers Park,23714,5410.5,30.0
618,Rogers Park,23714,17459.5,51.0
619,Rogers Park,23714,3127.5,51.0
620,Rogers Park,23714,10488.0,54.0
621,Rogers Park,23714,9568.0,54.0
622,Rogers Park,23714,27111.5,38.0
623,Rogers Park,23714,24451.0,36.0
624,Rogers Park,23714,21621.0,36.0
625,Rogers Park,23714,11992.29,130.0
626,Rogers Park,23714,41525.0,29.0
627,Rogers Park,23714,3309.5,29.0
628,Rogers Park,23714,7930.0,21.0
629,Rogers Park,23714,7789.0,21.0
630,Rogers Park,23714,3925.0,12.0
631,Rogers Park,23714,11995.2,265.0
632,Rogers Park,23714,11052.82,155.0
633,Rogers Park,23714,7394.67,155.0
634,Rogers Park,23714,13577.46,187.0
635,Rogers Park,23714,9065.43,149.0
636,West Ridge,21375,73945.0,30.0
637,West Ridge,21375,45458.0,55.0
638,West Ridge,21375,102443.0,169.0
639,West Ridge,21375,79893.5,67.0
640,West Ridge,21375,117022.0,26.0
641,West Ridge,21375,5573.0,0.0
642,West Ridge,21375,10613.0,33.0
643,West Ridge,21375,22867.5,66.0
644,West Ridge,21375,7419.75,23.0
645,West Ridge,21375,7322.23,33.0
646,West Ridge,21375,19754.0,61.0
647,West Ridge,21375,11441.5,120.0
648,West Ridge,21375,8685.0,22.0
649,West Ridge,21375,8397.0,5.0
650,West Ridge,21375,13965.0,69.0
651,West Ridge,21375,8820.0,12.0
652,West Ridge,21375,6690.0,0.0
653,West Ridge,21375,7698.0,97.0
654,West Ridge,21375,35992.0,218.0
655,West Ridge,21375,20796.0,53.0
656,West Ridge,21375,11301.5,97.0
657,West Ridge,21375,8871.0,48.0
658,West Ridge,21375,7529.83,75.0
659,West Ridge,21375,18735.0,148.0
660,West Ridge,21375,7283.0,57.0
661,West Ridge,21375,73225.65,44944.0
662,West Ridge,21375,23772.75,146.0
663,West Ridge,21375,9554.85,146.0
664,West Ridge,21375,5830.4,146.0
